00208	OBSOLETE International Mobile Station ID	imsi	Obsolete
00209	IMSI Length	imsi_addr_num	CDMA
00210	TMSI Zone Length	assigning_tmsi_zone_len	CDMA
00211	TMSI Zones	assigning_tmsi_zone	CDMA
00212	TMSI Codes	tmsi_code	CDMA
00213	TMSI Expiration Time	tmsi_exp	CDMA
00214	Subscribers Home Block	home_pcs_freq_block	Obsolete
00215	Directory Number PCS Format	dir_number_pc	CDMA
00218	Last Number Redial	redial	Display
00219	One Time Keypad Subsidy Lock	otksl	Security
00220	Obsolete Item	timed_pref_mode	Display
00221	Ringer Type Setting	ringer_type	Display
00222	Any Key Answer	any_key_answer	Display
00223	Hands Free Kit Backlight Setting	back_light_hfk	Display
00224	Global Phone Book Restriction	restrict_global	Obsolete
00225	Keypress Sound	key_sound	Display
00226	Phone Book Sorting Method	dials_sorting_method	Display
00227	Language Selection	language_selection	Display
00228	Menu Format	menu_format	Display
00229	External Speaker Ringer Volume	ringer_spkr_lvl	Display
00230	External Speaker Key Beep Volume	beep_spkr_lvl	Display
00231	New Format Most Recently Used Channels	mru2_table	CDMA
00232	Vibrator	vibrator	Display
00233	Opening Clamshell Answers Call	flip_answers	Display
00234	ISS2 Dialing Restriction Levels	dial_restrict_lvl	Display
00235	Dial State Table Length	dial_state_table_len	Display
00236	ISS2 Dialing Plan State Table	dial_state_table	Display
00237	Voice Privacy Alert TGP	voice_priv_alert	Display
00240	QNC Enabled Flag	data_qnc_enabled	Data
00241	Data Service Option Set	data_so_set	Data
00242	IP Addresses Key Data	up_link_info	Data
00243	Current Gateway Alert State	up_parm	Data
00244	Unwired Planet Cache	up_cache	Obsolete
00245	Elapsed Time	elapsed_time	Debug
00246	PDM2 RF Calibration	pdm2	RF CDMA
00247	Receiver AGC Min/Max	rx_agc_minmax	RF CDMA
00248	Auxillary V Battery Min/Max	vbatt_aux	Factory
00249	DTACO Control	dtaco_control	Display
00250	DTACO Interdigit Timeout	dtaco_interdigit_timeout	Display
00251	PDM1 RF Calibration	pdm1	Factory
00252	Bell Modem	bell_modem	Data
00254	PDM1 vs Temperature RF Calibration	pdm2_vs_temp	RF CDMA
00255	CDMA SID NID Lockout	sid_nid_lock	CDMA
00256	Roaming List Enabled	prl_enabled	System
00258	System Preference Per NAM	system_pref	System
00259	Home SID/NID List	home_sid_nid	CDMA
00260	OTAPA Enabled	otapa_enabled	System
00261	SPASM Protection Per NAM	nam_lock	System
00262	True IMSI - MIN1	imsi_t_s1	CDMA
00263	True IMSI - MIN2	imsi_t_s2	CDMA
